,Date,Open,High,Low,Close
261,2019-01-22,36649.92,36650.47,36282.93,36444.64
262,2019-01-23,36494.12,36521.47,36037.9,36108.47
263,2019-01-24,36146.55,36258.28,35996.68,36195.1
264,2019-01-25,36245.77,36474.48,35953.15,36025.54
265,2019-01-28,36099.62,36124.26,35565.15,35656.7
266,2019-01-29,35716.72,35734.14,35375.51,35592.5
267,2019-01-30,35819.67,35850.41,35490.97,35591.25
268,2019-01-31,35805.51,36278.13,35740.07,36256.69
269,2019-02-01,36311.74,36778.14,36221.32,36469.43
270,2019-02-04,36456.22,36622.77,36225.48,36582.74
271,2019-02-05,36573.04,36727.83,36495.83,36616.81
272,2019-02-06,36714.54,37005.25,36680.88,36975.23
273,2019-02-07,37026.56,37172.18,36898.8,36971.09
274,2019-02-08,36873.59,36885.58,36480.62,36546.48
275,2019-02-11,36585.5,36588.41,36300.48,36395.03
276,2019-02-12,36405.72,36465.4,36113.91,36153.62
277,2019-02-13,36279.63,36375.8,35962.68,36034.11
278,2019-02-14,36065.08,36109.1,35799.42,35876.22
279,2019-02-15,35985.68,36022.57,35510.97,35808.95
280,2019-02-18,35831.18,35912.44,35470.76,35498.44
281,2019-02-19,35543.24,35776.04,35287.16,35352.61
282,2019-02-20,35564.93,35797.11,35469.49,35756.26
283,2019-02-21,35837.0,35983.07,35707.29,35898.35
284,2019-02-22,35906.01,35941.69,35795.79,35871.48
285,2019-02-25,35983.8,36242.18,35901.06,36213.38
286,2019-02-26,35975.75,36172.52,35714.16,35973.71
287,2019-02-27,36138.83,36371.11,35735.33,35905.43
288,2019-02-28,36025.72,36085.85,35829.15,35867.44
289,2019-03-01,36018.49,36140.67,35952.41,36063.81
290,2019-03-05,36141.07,36457.44,35926.94,36442.54
291,2019-03-06,36544.86,36666.47,36456.82,36636.1
292,2019-03-07,36744.02,36830.25,36590.88,36725.42
293,2019-03-08,36753.59,36753.59,36592.93,36671.43
294,2019-03-11,36741.57,37106.19,36726.39,37054.1
295,2019-03-12,37249.65,37586.63,37230.85,37535.66
296,2019-03-13,37608.29,37797.29,37478.87,37752.17
297,2019-03-14,37840.64,37907.78,37693.69,37754.89
298,2019-03-15,37760.23,38254.77,37760.23,38024.32
299,2019-03-18,38132.96,38369.59,37952.1,38095.07
300,2019-03-19,38218.59,38396.06,38078.23,38363.47
301,2019-03-20,38433.86,38489.81,38316.21,38386.75
302,2019-03-22,38452.47,38564.71,38089.36,38164.61
303,2019-03-25,38016.76,38016.76,37667.4,37808.91
304,2019-03-26,37886.29,38297.7,37800.08,38233.41
305,2019-03-27,38372.03,38475.93,38001.34,38132.88
306,2019-03-28,38208.3,38593.65,38148.44,38545.72
307,2019-03-29,38675.0,38748.54,38546.68,38672.91
